"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance","Assay","CellTypeDeep","Comparison"
8.46609968415464e-26,4.5685787095013,0.633,0.019,6.50653625126021e-21,"Cybb-201",6.50653625126021e-21,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
9.40953483255009e-26,3.13174529530857,0.833,0.058,7.23160390020804e-21,"Psg28-201",7.23160390020804e-21,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
9.48386786032835e-26,5.27296383751472,0.667,0.029,7.28873180537675e-21,"Myof-211",7.28873180537675e-21,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
1.0837449460681e-25,7.33878774394884,0.5,0,8.32901340851179e-21,"Axl-201",8.32901340851179e-21,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
1.0837449460681e-25,9.39193263031233,0.5,0,8.32901340851179e-21,"Mmp12-201",8.32901340851179e-21,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
1.20396680761516e-25,4.69246313193242,0.633,0.019,9.25296650324557e-21,"Sash1-201",9.25296650324557e-21,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
1.3823125728913e-25,7.19962942202491,0.533,0.005,1.06236250476988e-20,"Cspg4-201",1.06236250476988e-20,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
1.3981632307604e-25,4.89469856483716,0.6,0.014,1.0745443693686e-20,"Abhd12-201",1.0745443693686e-20,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
1.53191935635264e-25,3.52122681129982,0.667,0.024,1.17734130213126e-20,"Cerk-201",1.17734130213126e-20,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
1.65131479002727e-25,5.84618683565859,0.667,0.029,1.26910146872756e-20,"Lpl-201",1.26910146872756e-20,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
1.88714537056355e-25,4.51618582433682,0.567,0.01,1.45034670309291e-20,"Arhgap24-203",1.45034670309291e-20,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
